359.592,1.247,-0.944,284.751,1.308,-0.951,287.957
359.643,1.247,-0.944,279.924,1.315,-0.949,288.332
359.695,1.247,-0.944,285.162,1.327,-0.945,289.067
360.461,1.396,-0.898,294.985,1.508,-0.861,300.518
360.512,1.396,-0.898,298.053,1.519,-0.855,301.257
360.818,1.416,-0.881,297.921,1.577,-0.817,305.264
361.022,1.454,-0.852,302.256,1.623,-0.782,308.547
361.073,1.454,-0.852,296.657,1.628,-0.778,308.923
361.430,1.501,-0.822,299.683,1.695,-0.719,314.024
361.481,1.534,-0.792,304.783,1.706,-0.708,314.921
361.532,1.534,-0.792,300.678,1.715,-0.699,315.657
361.583,1.564,-0.772,300.648,1.72,-0.694,316.034
362.348,1.752,-0.625,312.601,1.844,-0.537,327.528
362.399,1.752,-0.625,322.197,1.85,-0.526,328.265
362.450,1.788,-0.595,321.457,1.854,-0.52,328.642
362.858,1.847,-0.539,328.290,1.902,-0.431,334.471
362.909,1.876,-0.506,332.202,1.908,-0.419,335.212
362.960,1.876,-0.506,331.262,1.913,-0.407,335.955
363.062,1.904,-0.485,331.960,1.924,-0.383,337.473
363.113,1.904,-0.485,334.702,1.929,-0.371,338.217
363.164,1.932,-0.467,334.283,1.933,-0.359,338.96
363.215,1.932,-0.467,334.283,1.938,-0.347,339.701
363.317,1.958,-0.454,333.792,1.947,-0.322,341.243
363.368,1.958,-0.454,339.071,1.952,-0.306,342.167
363.419,1.958,-0.454,340.638,1.956,-0.294,342.908
363.470,1.981,-0.433,340.638,1.96,-0.282,343.65
363.521,1.981,-0.433,337.203,1.963,-0.269,344.388
363.572,1.981,-0.433,340.178,1.967,-0.257,345.128
363.623,2.002,-0.416,340.269,1.97,-0.244,345.869
363.674,2.002,-0.416,340.269,1.973,-0.232,346.611
363.725,2.002,-0.416,342.507,1.976,-0.219,347.351
363.776,2.021,-0.391,341.076,1.978,-0.206,348.089
363.827,2.021,-0.391,342.412,1.981,-0.194,348.836
363.878,2.037,-0.358,347.166,1.983,-0.181,349.574
363.929,2.037,-0.358,347.166,1.986,-0.168,350.313
364.133,2.053,-0.335,343.479,1.993,-0.118,353.234
364.184,2.065,-0.299,347.211,1.994,-0.105,353.975
364.235,2.065,-0.299,344.338,1.996,-0.092,354.712
364.286,2.065,-0.299,348.893,1.997,-0.079,355.452
364.439,2.077,-0.263,352.132,1.999,-0.033,358.1
364.490,2.086,-0.229,351.326,2.0,-0.027,358.479
364.541,2.086,-0.229,349.493,2.0,-0.014,359.212
364.592,2.086,-0.229,349.493,2.0,0.006,360.319
	
