0,-0.408,0.334,1.844,1.22,NaN,NaN,NaN
0.4049,-0.408,0.335,1.844,NaN,NaN,NaN,NaN
0.45993,-0.408,0.335,1.844,NaN,1,-1,1
0.51523,-0.408,0.335,1.844,NaN,NaN,NaN,NaN
0.56495,-0.408,0.335,1.844,NaN,NaN,NaN,NaN
0.61997,-0.408,0.335,1.844,NaN,NaN,NaN,NaN
0.66997,-0.408,-0.335,1.844,0,-0.47038,0.38606,0.2025
0.72504,-0.408,0.335,1.844,0.01,-0.47043,0.38612,0.20242
0.77501,-0.408,0.335,1.844,0.02,-0.47041,0.38606,0.2025
0.83001,-0.408,0.335,1.844,0.03,-0.47039,0.38605,0.2025
0.88008,-0.408,0.335,1.844,0.04,-0.47038,0.38606,0.20249
0.93506,-0.408,0.335,1.844,0.05,NaN,NaN,NaN
0.98507,-0.408,0.335,1.844,0.06,-0.47041,0.38611,0.20242
1.04,-0.408,0.335,1.844,0.07,-0.47043,0.38614,0.20241
1.0901,-0.408,0.335,1.844,0.08,-0.47043,0.38614,0.20242
1.1451,-0.408,0.335,1.844,0.09,-0.47041,0.38606,0.20249
1.1951,-0.408,0.335,1.844,0.1,-0.47037,0.38605,0.2025
1.2501,-0.409,0.336,1.843,0.11,-0.4704,0.38606,0.20249
1.3001,-0.409,0.336,1.843,0.12,-0.47039,0.38606,0.20252
1.3551,-0.409,0.336,1.843,0.13,-0.47042,0.38611,0.20243
1.4051,-0.409,0.336,1.843,0.14,-0.47041,0.38612,0.20242
1.4602,-0.409,0.336,1.843,0.15,-0.4704,0.38606,0.20251
1.5156,-0.409,0.336,1.843,0.16,-0.47041,0.38612,0.20243
1.5652,-0.409,0.336,1.842,0.17,-0.47044,0.38612,0.20242
1.6202,-0.409,0.336,1.842,0.18,-0.47042,0.38612,0.20243
1.6702,-0.409,0.336,1.842,0.19,-0.4704,0.38606,0.2025
1.7253,-0.409,0.336,1.842,0.2,-0.47039,0.38605,0.20251
1.7752,-0.409,0.336,1.842,0.21,-0.47043,0.38613,0.20241
1.8303,-0.409,0.335,1.841,0.22,-0.47043,0.38612,0.20243
1.8803,-0.409,0.335,1.841,0.23,-0.47037,0.38604,0.20249
1.9353,-0.409,0.335,1.841,0.24,-0.47042,0.38612,0.20241
1.9853,-0.409,0.335,1.841,0.25,-0.47036,0.38606,0.2025
2.0403,-0.409,0.335,1.841,0.26,-0.4704,0.38614,0.20241
2.0903,-0.409,0.335,1.841,0.27,-0.47042,0.38613,0.20242
2.1453,-0.408,0.335,1.841,0.28,-0.47039,0.38605,0.20251
2.1953,-0.408,0.335,1.841,0.29,-0.47042,0.38612,0.20242
2.2504,-0.408,0.335,1.841,0.3,-0.47039,0.38605,0.20249
2.3003,-0.408,0.335,1.841,0.31,-0.4704,0.38607,0.20251
2.3554,-0.408,0.335,1.841,0.32,-0.4704,0.38605,0.2025
2.4054,-0.408,0.335,1.843,0.33,-0.47042,0.38612,0.20241
2.4604,-0.408,0.335,1.843,0.34,-0.47039,0.38605,0.20251
