224.266,-0.108,0.053,3.192,0.000,0,0,0
224.327,-0.106,0.053,3.192,0.000,0,0,0
224.378,-0.106,0.053,3.196,0.000,0,0,0
224.429,-0.106,0.054,3.196,0.000,0,0,0
224.480,-0.107,0.054,3.203,0.000,0,0,0
224.531,-0.107,0.055,3.203,0.000,0,0,0
224.582,-0.107,0.055,3.200,0.000,0,0,0
224.633,-0.107,0.055,3.200,0.000,0,0,0
224.684,-0.107,0.055,3.203,0.000,0,0,0
224.735,-0.107,0.055,3.189,0.000,0,0,0
224.786,-0.107,0.055,3.199,0.000,0,0,0
224.837,-0.108,0.054,3.199,0.000,0,0,0
224.888,-0.108,0.054,3.199,0.000,0,0,0
224.939,-0.107,0.054,3.200,0.000,0,0,0
224.990,-0.107,0.054,3.189,0.000,0,0,0
225.041,-0.107,0.054,3.189,0.000,0,0,0
225.092,-0.107,0.054,3.189,0.000,0,0,0
225.143,-0.107,0.056,3.189,0.000,0,0,0
225.194,-0.107,0.056,3.200,0.000,0,0,0
225.245,-0.107,0.058,3.204,0.000,0,0,0
225.296,-0.107,0.058,3.189,0.000,0,0,0
225.347,-0.107,0.058,3.189,0.000,0,0,0
225.398,-0.107,0.058,3.206,0.000,0,0,0
225.449,-0.108,0.059,3.193,0.000,0,0,0
225.500,-0.108,0.059,3.196,0.000,0,0,0
225.551,-0.107,0.058,3.196,0.000,0,0,0
225.602,-0.107,0.058,3.196,0.000,0,0,0
225.653,-0.108,0.059,3.200,0.000,0,0,0
225.704,-0.108,0.059,3.200,0.000,0,0,0
225.755,-0.108,0.059,3.189,0.000,0,0,0
225.806,-0.107,0.058,3.189,0.000,0,0,0
225.857,-0.107,0.058,3.197,0.000,0,0,0
225.908,-0.107,0.059,3.189,0.000,0,0,0
225.959,-0.107,0.059,3.203,0.000,0,0,0
226.010,-0.107,0.059,3.199,0.000,0,0,0
226.061,-0.106,0.060,3.196,0.000,0,0,0
226.112,-0.106,0.061,3.182,0.000,0,0,0
226.163,-0.106,0.061,3.178,0.000,0,0,0
226.214,-0.107,0.060,3.200,0.000,0,0,0
226.265,-0.107,0.061,3.200,0.000,0,0,0
226.316,-0.107,0.061,3.196,0.000,0,0,0
226.367,-0.107,0.061,3.196,0.000,0,0,0
226.418,-0.108,0.061,3.200,0.000,0,0,0
226.469,-0.108,0.061,3.197,0.000,0,0,0
226.520,-0.108,0.061,3.197,0.000,0,0,0
226.571,-0.108,0.061,3.186,0.000,0,0,0
226.622,-0.108,0.061,3.196,0.000,0,0,0
226.673,-0.108,0.061,3.196,0.000,0,0,0
