0,0.057,-0.085,0.095,1.22,NaN,NaN,NaN
0.77346,0.057,-0.085,0.095,NaN,NaN,NaN,NaN
0.82351,0.057,-0.085,0.095,NaN,1,-1,1
0.87852,0.056,0.085,0.095,NaN,NaN,NaN,NaN
0.92851,0.056,-0.085,0.095,NaN,NaN,NaN,NaN
0.98352,0.056,-0.085,0.095,NaN,NaN,NaN,NaN
1.0335,0.056,-0.085,0.095,0,-0.009521,-0.035617,0.19893
1.0885,0.056,-0.085,0.095,0.01,-0.009448,-0.035603,0.1989
1.1437,0.056,-0.085,0.095,0.02,-0.009515,-0.035622,0.19892
1.1935,0.056,-0.085,0.094,0.03,NaN,NaN,NaN
1.2485,0.056,-0.085,0.094,0.04,-0.00952,-0.035629,0.19893
1.2985,0.056,-0.085,0.094,0.05,-0.009539,-0.035622,0.19893
1.3535,0.056,-0.085,0.094,0.06,-0.009524,-0.035629,0.19892
1.4035,0.056,-0.085,0.094,0.07,-0.009529,-0.03565,0.19893
1.4586,0.056,-0.086,0.095,0.08,-0.009537,-0.035628,0.19892
1.5086,0.056,-0.086,0.095,0.09,-0.009536,-0.035633,0.19892
1.5636,0.056,-0.086,0.095,0.1,-0.009524,-0.035621,0.19893
1.6136,0.056,-0.086,0.095,0.11,-0.009521,-0.035624,0.19892
1.6686,0.056,-0.086,0.095,0.12,-0.009521,-0.035621,0.19893
1.7186,0.056,-0.086,0.095,0.13,-0.00953,-0.035624,0.19892
1.7736,0.057,-0.086,0.096,0.14,-0.00943,-0.035677,0.19897
1.8236,0.057,-0.086,0.096,0.15,-0.009435,-0.035678,0.19899
1.8786,0.057,-0.086,0.096,0.16,-0.009424,-0.035681,0.19896
1.9286,0.057,-0.086,0.096,0.17,-0.009522,-0.035633,0.19894
1.9836,0.057,-0.086,0.096,0.18,-0.009439,-0.035666,0.19897
2.0336,0.057,-0.086,0.096,0.19,-0.009446,-0.035619,0.1989
2.0886,0.057,-0.086,0.096,0.2,-0.009515,-0.035635,0.19892
2.1436,0.057,-0.086,0.096,0.21,-0.00952,-0.035641,0.19892
2.1936,0.057,-0.086,0.096,0.22,-0.009522,-0.035645,0.19892
2.2486,0.057,-0.086,0.096,0.23,-0.009521,-0.035627,0.19892
2.2987,0.057,-0.086,0.096,0.24,-0.009507,-0.035642,0.19894
2.3537,0.057,-0.086,0.096,0.25,-0.009525,-0.035647,0.19892
2.4037,0.057,-0.086,0.096,0.26,-0.009506,-0.035639,0.19893
2.4587,0.057,-0.086,0.096,0.27,-0.009356,-0.035612,0.19897
2.5087,0.057,-0.086,0.096,0.28,-0.009525,-0.035629,0.19894
2.5637,0.057,-0.086,0.096,0.29,-0.009511,-0.035628,0.19892
