394.431,0.327,0.289,3.099,0,0,0
394.492,0.327,0.289,3.111,0,0,0
394.543,0.327,0.289,3.111,0,0,0
394.594,0.327,0.289,3.113,0,0,0
394.645,0.327,0.289,3.110,0,0,0
394.696,0.327,0.289,3.106,0,0,0
394.747,0.327,0.289,3.101,0,0,0
394.798,0.327,0.289,3.101,0,0,0
394.849,0.327,0.289,3.101,0,0,0
394.900,0.327,0.289,3.090,0,0,0
394.951,0.327,0.289,3.113,0,0,0
395.002,0.327,0.289,3.109,0,0,0
395.053,0.327,0.289,3.109,0,0,0
395.104,0.328,0.289,3.113,0,0,0
395.155,0.328,0.289,3.108,0,0,0
395.206,0.328,0.289,3.112,0,0,0
395.257,0.328,0.289,3.112,0,0,0
395.308,0.328,0.289,3.105,0,0,0
395.359,0.328,0.289,3.108,0,0,0
395.410,0.326,0.289,3.111,0,0,0
395.461,0.326,0.289,3.105,0,0,0
395.512,0.326,0.289,3.105,0,0,0
395.563,0.326,0.289,3.102,0,0,0
395.614,0.326,0.289,3.103,0,0,0
395.665,0.326,0.289,3.097,0,0,0
395.716,0.326,0.289,3.097,0,0,0
395.767,0.326,0.289,3.111,0,0,0
395.818,0.326,0.289,3.120,0,0,0
395.869,0.326,0.289,3.109,0,0,0
395.920,0.326,0.289,3.101,0,0,0
395.971,0.326,0.289,3.101,0,0,0
396.022,0.326,0.289,3.111,0,0,0
396.073,0.326,0.289,3.108,0,0,0
396.124,0.326,0.289,3.103,0,0,0
396.175,0.326,0.289,3.103,0,0,0
396.226,0.326,0.289,3.111,0,0,0
396.277,0.326,0.289,3.110,0,0,0
396.328,0.326,0.289,3.106,0,0,0
396.379,0.326,0.289,3.119,0,0,0
396.430,0.326,0.289,3.119,0,0,0
396.481,0.326,0.289,3.117,0,0,0
396.532,0.326,0.289,3.106,0,0,0
396.583,0.326,0.289,3.104,0,0,0
396.634,0.326,0.289,3.112,0,0,0
396.685,0.326,0.289,3.109,0,0,0
396.736,0.326,0.289,3.110,0,0,0
396.787,0.326,0.289,3.113,0,0,0
396.838,0.326,0.288,3.104,0,0,0
396.889,0.326,0.288,3.104,0,0,0
396.940,0.326,0.288,3.126,0,0,0
396.991,0.326,0.288,3.106,0,0,0
397.042,0.326,0.288,3.114,0,0,0
397.093,0.326,0.288,3.124,0,0,0
397.144,0.326,0.288,3.124,0,0,0
397.195,0.326,0.288,3.117,0,0,0
397.246,0.326,0.288,3.111,0,0,0
397.297,0.326,0.288,3.103,0,0,0
397.348,0.326,0.288,3.103,0,0,0
397.399,0.326,0.288,3.115,0,0,0
397.450,0.326,0.288,3.099,0,0,0
397.501,0.326,0.288,3.111,0,0,0
397.552,0.326,0.288,3.104,0,0,0
397.603,0.326,0.288,3.104,0,0,0
397.654,0.326,0.288,3.109,0,0,0
397.705,0.326,0.287,3.116,0,0,0
397.756,0.326,0.287,3.105,0,0,0
397.807,0.326,0.287,3.105,0,0,0
397.858,0.326,0.287,3.102,0,0,0
397.909,0.326,0.287,3.104,0,0,0
397.960,0.326,0.287,3.117,0,0,0
398.011,0.326,0.287,3.109,0,0,0
398.062,0.326,0.287,3.109,0,0,0
398.113,0.326,0.287,3.108,0,0,0
398.164,0.326,0.287,3.112,0,0,0
398.215,0.326,0.287,3.113,0,0,0
398.266,0.326,0.286,3.113,0,0,0
398.317,0.326,0.286,3.118,0,0,0
398.368,0.326,0.286,3.116,0,0,0
398.419,0.326,0.286,3.112,0,0,0
398.470,0.326,0.286,3.105,0,0,0
398.521,0.326,0.286,3.105,0,0,0
398.572,0.326,0.286,3.102,0,0,0
398.623,0.326,0.286,3.101,0,0,0
398.674,0.326,0.286,3.111,0,0,0
398.725,0.326,0.286,3.114,0,0,0
398.776,0.326,0.286,3.114,0,0,0
398.827,0.326,0.286,3.116,0,0,0
398.878,0.326,0.286,3.103,0,0,0
398.929,0.326,0.286,3.119,0,0,0
398.980,0.326,0.286,3.119,0,0,0
399.031,0.326,0.286,3.113,0,0,0
399.082,0.326,0.286,3.111,0,0,0
399.133,0.326,0.286,3.100,0,0,0
399.184,0.326,0.286,3.120,0,0,0
399.235,0.326,0.286,3.120,0,0,0
399.286,0.326,0.286,3.110,0,0,0
399.337,0.326,0.286,3.106,0,0,0
399.388,0.326,0.286,3.112,0,0,0
399.439,0.326,0.286,3.112,0,0,0
399.490,0.326,0.286,3.102,0,0,0
