0,0.009,0.026,1.832,1.22,NaN,NaN,NaN
0.20637,0.009,0.026,1.832,NaN,NaN,NaN,NaN
0.2564,0.009,0.026,1.832,NaN,1,-1,1
0.30638,0.009,0.026,1.832,NaN,NaN,NaN,NaN
0.35641,0.009,0.027,1.834,NaN,NaN,NaN,NaN
0.40641,0.009,0.027,1.834,NaN,NaN,NaN,NaN
0.45645,0.009,0.027,1.834,0,-0.14562,0.011161,0.1995
0.50643,0.008,0.027,1.836,0.01,-0.14556,0.011121,0.19958
0.55645,0.008,0.027,1.836,0.02,-0.14561,0.01118,0.19948
0.60642,0.008,0.027,1.836,0.03,-0.14556,0.011144,0.19954
0.65649,0.009,0.026,1.835,0.04,NaN,NaN,NaN
0.70647,0.009,0.026,1.835,0.05,-0.14546,0.010992,0.19962
0.75651,0.009,0.026,1.835,0.06,-0.1456,0.011163,0.19948
0.80651,0.01,0.026,1.833,0.07,-0.14559,0.011147,0.19948
0.8565,0.01,0.026,1.833,0.08,-0.14561,0.011163,0.19949
0.90654,0.01,0.026,1.833,0.09,-0.14561,0.011164,0.19947
0.95653,0.01,0.026,1.832,0.1,-0.14557,0.011143,0.19945
1.0065,0.01,0.026,1.832,0.11,-0.1456,0.011154,0.19944
1.0565,0.01,0.026,1.832,0.12,-0.14559,0.011164,0.19945
1.1065,0.01,0.028,1.84,0.13,-0.14541,0.01099,0.19956
1.1565,0.01,0.028,1.84,0.14,-0.14543,0.011004,0.19957
1.2066,0.008,0.03,1.841,0.15,-0.14545,0.011003,0.19957
1.2566,0.008,0.03,1.841,0.16,-0.14551,0.011054,0.19953
1.3066,0.008,0.03,1.841,0.17,-0.1456,0.011076,0.19961
1.3566,0.003,0.035,1.843,0.18,-0.14559,0.011158,0.19947
1.4066,0.003,0.035,1.843,0.19,-0.14543,0.011001,0.19956
1.4566,0.003,0.035,1.843,0.2,-0.14562,0.011146,0.19948
1.5066,-0.003,0.04,1.849,0.21,-0.14561,0.011163,0.19947
1.5566,-0.003,0.04,1.849,0.22,-0.1456,0.011155,0.19946
1.6066,-0.003,0.04,1.849,0.23,-0.1456,0.011175,0.19948
1.6567,-0.014,0.045,1.836,0.24,-0.14557,0.011164,0.19945
1.7066,-0.014,0.045,1.836,0.25,-0.14547,0.010991,0.19958
1.7567,-0.014,0.045,1.836,0.26,-0.14555,0.01112,0.19957
1.8067,-0.025,0.053,1.836,0.27,-0.14553,0.0112,0.19951
1.8567,-0.025,0.053,1.836,0.28,-0.14556,0.011078,0.19959
1.9067,-0.025,0.053,1.836,0.29,-0.14558,0.011161,0.1995
1.9567,-0.039,0.062,1.831,0.3,-0.14562,0.011167,0.19948
2.0067,-0.039,0.062,1.831,0.31,-0.14544,0.010989,0.1996
2.0567,-0.039,0.062,1.831,0.32,-0.14558,0.011136,0.19954
2.1068,-0.054,0.074,1.829,0.33,-0.14543,0.010995,0.19959
2.1567,-0.054,0.074,1.829,0.34,-0.1456,0.011146,0.19948
2.2067,-0.054,0.074,1.829,0.35,-0.14544,0.011006,0.19961
2.2567,-0.073,0.087,1.839,0.36,-0.1456,0.011162,0.19949
2.3068,-0.073,0.087,1.839,0.37,-0.14558,0.011155,0.19946
2.3568,-0.073,0.087,1.839,0.38,-0.14558,0.011162,0.19945
2.4068,-0.095,0.094,1.844,0.39,-0.14544,0.011007,0.19958
2.4568,-0.095,0.094,1.844,0.4,-0.14556,0.011156,0.19945
2.5068,-0.119,0.099,1.862,0.41,-0.1456,0.011162,0.19948
2.5568,-0.119,0.099,1.862,0.42,-0.14542,0.011001,0.19957
2.6068,-0.119,0.099,1.862,0.43,-0.14562,0.011223,0.19941
2.6568,-0.15,0.097,1.873,0.44,-0.14559,0.011166,0.19948
2.7068,-0.15,0.097,1.873,0.45,-0.1456,0.011161,0.19948
2.7569,-0.15,0.097,1.873,0.46,-0.14544,0.010977,0.19959
2.8069,-0.185,0.093,1.88,0.47,-0.14559,0.011141,0.19949
2.8569,-0.185,0.093,1.88,0.48,-0.1454,0.010976,0.19964
2.9069,-0.185,0.093,1.88,0.49,-0.14562,0.011154,0.19948
2.9569,-0.224,0.093,1.887,0.5,-0.14545,0.011008,0.19959
3.0069,-0.224,0.093,1.887,0.51,-0.14546,0.010998,0.19959
3.0569,-0.224,0.093,1.887,0.52,-0.1456,0.011162,0.1995
3.1069,-0.269,0.097,1.884,0.53,-0.14569,0.011025,0.19959
3.1569,-0.269,0.097,1.884,0.54,-0.14541,0.010985,0.19957
3.207,-0.269,0.097,1.884,0.55,-0.1454,0.01097,0.19964
